date,country,yield,yield_de,spread,spread_change_1m,spread_vol_3m
2025-06-01,ES,3.164,2.52,0.6440000000000001,0.0019999999999997797,0.07208328516376031
2025-07-01,ES,3.241,2.631,0.6100000000000003,-0.03399999999999981,0.03903844259188619
2025-08-01,ES,3.256,2.674,0.5819999999999999,-0.02800000000000047,0.01928730152198618
2025-09-01,ES,3.262,2.693,0.569,-0.0129999999999999,0.010816653826392703
2025-10-01,ES,3.147,2.617,0.5299999999999998,-0.039000000000000146,0.013051181300301994
2025-11-01,ES,3.173,2.657,0.516,-0.01399999999999979,0.0147309198626569
2025-12-01,ES,3.271,2.813,0.45799999999999974,-0.058000000000000274,0.022068076490714544
2026-01-01,ES,3.268,2.807,0.46099999999999985,0.0030000000000001137,0.03148015247739485
2026-02-01,ES,3.174,2.744,0.4299999999999997,-0.03100000000000014,0.030566866593312456
2019-01-01,FR,0.65,0.13,0.52,,
2019-02-01,FR,0.55,0.06,0.49000000000000005,-0.02999999999999997,
2019-03-01,FR,0.44,0.01,0.43,-0.06000000000000005,0.021213203435596486
2019-04-01,FR,0.37,-0.04,0.41,-0.020000000000000018,0.020816659994661355
2019-05-01,FR,0.3,-0.13,0.43,0.020000000000000018,0.040000000000000036
2019-06-01,FR,0.08,-0.31,0.39,-0.03999999999999998,0.030550504633038936
2019-07-01,FR,-0.07,-0.39,0.32,-0.07,0.04582575694955841
2019-08-01,FR,-0.34,-0.65,0.31,-0.010000000000000009,0.030000000000000006
2019-09-01,FR,-0.27,-0.59,0.31999999999999995,0.009999999999999953,0.04163331998932265
2019-10-01,FR,-0.16,-0.47,0.30999999999999994,-0.010000000000000009,0.01154700538379253
2019-11-01,FR,-0.02,-0.35,0.32999999999999996,0.020000000000000018,0.015275252316519505
2019-12-01,FR,0.04,-0.3,0.33999999999999997,0.010000000000000009,0.01527525231651951
2020-01-01,FR,-0.01,-0.31,0.3,-0.03999999999999998,0.032145502536643195
2020-02-01,FR,-0.18,-0.47,0.29,-0.010000000000000009,0.025166114784235843
2020-03-01,FR,-0.05,-0.54,0.49000000000000005,0.20000000000000007,0.13076696830622023
2020-04-01,FR,0.06,-0.45,0.51,0.019999999999999962,0.11357816691600552
2020-05-01,FR,-0.03,-0.516,0.486,-0.02400000000000002,0.11868164699452625
2020-06-01,FR,-0.04,-0.434,0.394,-0.09199999999999997,0.05642694391866346
2020-07-01,FR,-0.15,-0.523,0.373,-0.02100000000000002,0.04015387071420793
2020-08-01,FR,-0.17,-0.522,0.352,-0.02100000000000002,0.04099186911246333
2020-09-01,FR,-0.21,-0.524,0.31400000000000006,-0.03799999999999992,0.009814954576223582
2020-10-01,FR,-0.3,-0.607,0.307,-0.007000000000000062,0.015524174696259954
2020-11-01,FR,-0.32,-0.614,0.294,-0.013000000000000012,0.016441816606851296
2020-12-01,FR,-0.34,-0.618,0.27799999999999997,-0.016000000000000014,0.004582575694955814
2021-01-01,FR,-0.31,-0.583,0.27299999999999996,-0.0050000000000000044,0.005686240703077332
2021-02-01,FR,-0.15,-0.446,0.29600000000000004,0.023000000000000076,0.020108041509140948
2021-03-01,FR,-0.07,-0.364,0.294,-0.0020000000000000573,0.015373136743467
2021-04-01,FR,-0.01,-0.325,0.315,0.02100000000000002,0.013892443989449868
2021-05-01,FR,0.21,-0.223,0.433,0.118,0.06368935023481818
2021-06-01,FR,0.15,-0.288,0.43799999999999994,0.004999999999999949,0.0611473629848418
2021-07-01,FR,-0.01,-0.45,0.44,0.0020000000000000573,0.06612362159873983
2021-08-01,FR,-0.12,-0.539,0.41900000000000004,-0.020999999999999963,0.014224392195567917
2021-09-01,FR,0.04,-0.363,0.40299999999999997,-0.01600000000000007,0.012096831541082773
2021-10-01,FR,0.2,-0.206,0.406,0.003000000000000058,0.012662279942148455
2021-11-01,FR,0.1,-0.312,0.41200000000000003,0.006000000000000005,0.011930353445448943
2021-12-01,FR,0.05,-0.383,0.433,0.020999999999999963,0.009643650760992944
2022-01-01,FR,0.31,-0.115,0.425,-0.008000000000000007,0.01450287327853807
2022-02-01,FR,0.68,0.15,0.53,0.10500000000000004,0.0586884429281723
2022-03-01,FR,0.78,0.282,0.49800000000000005,-0.03199999999999997,0.07315964279118191
2022-04-01,FR,1.28,0.745,0.535,0.03699999999999998,0.06850060826980542
2022-05-01,FR,1.52,0.953,0.5670000000000001,0.03200000000000003,0.038475100173142276
2022-06-01,FR,2.06,1.446,0.6140000000000001,0.04700000000000004,0.007637626158259762
2022-07-01,FR,1.71,1.082,0.6279999999999999,0.01399999999999979,0.01652271164185845
2022-08-01,FR,1.69,1.033,0.657,0.029000000000000137,0.01652271164185844
2022-09-01,FR,2.41,1.796,0.6140000000000001,-0.04299999999999993,0.03798683982644515
2022-10-01,FR,2.77,2.186,0.5840000000000001,-0.030000000000000027,0.03837099599089578
2022-11-01,FR,2.58,2.066,0.5140000000000002,-0.06999999999999984,0.020404247923737188
2022-12-01,FR,2.62,2.085,0.5350000000000001,0.020999999999999908,0.04561067126598034
2023-01-01,FR,2.69,2.192,0.4979999999999998,-0.037000000000000366,0.04606878914550856
2023-02-01,FR,2.87,2.37,0.5,0.002000000000000224,0.029569128044860334
2023-03-01,FR,2.92,2.383,0.5369999999999999,0.03699999999999992,0.037018013633005026
2023-04-01,FR,2.9,2.359,0.5409999999999999,0.0040000000000000036,0.019655363983740667
2023-05-01,FR,2.94,2.341,0.5989999999999998,0.05799999999999983,0.027221315177632318
2023-06-01,FR,2.93,2.377,0.5530000000000004,-0.045999999999999375,0.052012818932771696
2023-07-01,FR,3.04,2.457,0.5830000000000002,0.029999999999999805,0.053814496188294404
2023-08-01,FR,3.11,2.545,0.565,-0.018000000000000238,0.038436094147731865
2023-09-01,FR,3.24,2.66,0.5800000000000001,0.015000000000000124,0.024556058315617437
2023-10-01,FR,3.45,2.823,0.6270000000000002,0.04700000000000015,0.03250128202599625
2023-11-01,FR,3.19,2.602,0.5880000000000001,-0.039000000000000146,0.04346646216720827
2023-12-01,FR,2.65,2.101,0.5489999999999999,-0.039000000000000146,0.04965212315030801
2024-01-01,FR,2.74,2.175,0.5650000000000004,0.01600000000000046,0.03175426480542976
2024-02-01,FR,2.85,2.331,0.5190000000000001,-0.04600000000000026,0.033955853692699677
2024-03-01,FR,2.82,2.349,0.47099999999999964,-0.04800000000000049,0.036386810797320986
2024-04-01,FR,2.97,2.446,0.524,0.05300000000000038,0.05774368652357922
2024-05-01,FR,3.03,2.518,0.512,-0.01200000000000001,0.05118919156749183
2024-06-01,FR,3.15,2.484,0.6659999999999999,0.15399999999999991,0.08364807230295263
2024-07-01,FR,3.14,2.458,0.6819999999999999,0.016000000000000014,0.0888669417350081
2024-08-01,FR,2.94,2.208,0.7319999999999998,0.04999999999999982,0.07189807600578288
2024-09-01,FR,2.9,2.166,0.734,0.002000000000000224,0.024684678108764638
2024-10-01,FR,2.99,2.228,0.762,0.028000000000000025,0.024027761721253277
2024-11-01,FR,3.09,2.305,0.7849999999999997,0.022999999999999687,0.013796134724383085
2024-12-01,FR,3.01,2.178,0.8319999999999999,0.04700000000000015,0.012662279942148623
2025-01-01,FR,3.32,2.484,0.8359999999999999,0.0040000000000000036,0.021548395145192082
2025-02-01,FR,3.15,2.405,0.7450000000000001,-0.09099999999999975,0.07061397406557234
2025-03-01,FR,3.43,2.741,0.6890000000000001,-0.05600000000000005,0.048045117684665115
2025-04-01,FR,3.26,2.511,0.7489999999999997,0.05999999999999961,0.07903796556086164
2025-05-01,FR,3.26,2.562,0.698,-0.05099999999999971,0.06557692683660385
2025-06-01,FR,3.24,2.52,0.7200000000000002,0.02200000000000024,0.05641217362709311
2025-07-01,FR,3.36,2.631,0.7290000000000001,0.008999999999999897,0.03894012497839889
2025-08-01,FR,3.42,2.674,0.746,0.016999999999999904,0.006557438524302186
2025-09-01,FR,3.51,2.693,0.8169999999999997,0.07099999999999973,0.03372437298651122
2025-10-01,FR,3.44,2.617,0.823,0.006000000000000227,0.03478984526170416
2025-11-01,FR,3.44,2.657,0.7829999999999999,-0.040000000000000036,0.055770362499568876
2025-12-01,FR,3.56,2.813,0.7469999999999999,-0.03600000000000003,0.025482019804821985
2026-01-01,FR,3.53,2.807,0.7229999999999999,-0.02400000000000002,0.008326663997864442
2026-02-01,FR,3.4,2.744,0.6559999999999997,-0.06700000000000017,0.022188585654190192
2019-01-01,GR,4.21,0.13,4.08,,
2019-02-01,GR,3.84,0.06,3.78,-0.30000000000000027,
2019-03-01,GR,3.76,0.01,3.75,-0.029999999999999805,0.19091883092036815
2019-04-01,GR,3.42,-0.04,3.46,-0.29000000000000004,0.153079500042734
2019-05-01,GR,3.37,-0.13,3.5,0.040000000000000036,0.17387735140993307
2019-06-01,GR,2.67,-0.31,2.98,-0.52,0.28148416178061125
2019-07-01,GR,2.16,-0.39,2.5500000000000003,-0.4299999999999997,0.30072135496724084
2019-08-01,GR,1.98,-0.65,2.63,0.07999999999999963,0.3235737937472684
2019-09-01,GR,1.5,-0.59,2.09,-0.54,0.3308070938376823
2019-10-01,GR,1.34,-0.47,1.81,-0.2799999999999998,0.3113411847689496
2019-11-01,GR,1.36,-0.35,1.71,-0.10000000000000009,0.22120880030716072
2019-12-01,GR,1.42,-0.3,1.72,0.010000000000000009,0.14640127503998493
2020-01-01,GR,1.34,-0.31,1.6500000000000001,-0.06999999999999984,0.05686240703077347
2020-02-01,GR,1.07,-0.47,1.54,-0.1100000000000001,0.06110100926607807
2020-03-01,GR,1.97,-0.54,2.51,0.9699999999999998,0.6123180001709351
2020-04-01,GR,2.05,-0.45,2.5,-0.009999999999999787,0.5967690787342564
2020-05-01,GR,1.93,-0.516,2.4459999999999997,-0.05400000000000027,0.5789231382489388
2020-06-01,GR,1.32,-0.434,1.754,-0.6919999999999997,0.38168573460374416
2020-07-01,GR,1.14,-0.523,1.6629999999999998,-0.09100000000000019,0.35814661802116704
2020-08-01,GR,1.08,-0.522,1.602,-0.06099999999999972,0.3559639494855247
2020-09-01,GR,1.08,-0.524,1.604,0.0020000000000000018,0.047465777145223036
2020-10-01,GR,0.9,-0.607,1.5070000000000001,-0.09699999999999998,0.050109879265469885
2020-11-01,GR,0.75,-0.614,1.3639999999999999,-0.14300000000000024,0.0740967835559231
2020-12-01,GR,0.63,-0.618,1.248,-0.11599999999999988,0.023115651263446974
2021-01-01,GR,0.65,-0.583,1.233,-0.014999999999999902,0.06747098141670473
2021-02-01,GR,0.81,-0.446,1.256,0.02299999999999991,0.07184010022264696
2021-03-01,GR,0.91,-0.364,1.274,0.018000000000000016,0.0206478408879309
2021-04-01,GR,0.88,-0.325,1.205,-0.06899999999999995,0.05173329037798878
2021-05-01,GR,0.99,-0.223,1.213,0.008000000000000007,0.047606022028030326
2021-06-01,GR,0.81,-0.288,1.098,-0.11499999999999999,0.06214767359550397
2021-07-01,GR,0.7,-0.45,1.15,0.051999999999999824,0.0865582655402319
2021-08-01,GR,0.59,-0.539,1.129,-0.020999999999999908,0.08371977066380414
2021-09-01,GR,0.8,-0.363,1.163,0.03400000000000003,0.038030689361794504
2021-10-01,GR,0.96,-0.206,1.166,0.0029999999999998916,0.027574142476844383
2021-11-01,GR,1.22,-0.312,1.532,0.3660000000000001,0.2012270690869729
2021-12-01,GR,1.29,-0.383,1.673,0.14100000000000001,0.18322936445886628
2022-01-01,GR,1.62,-0.115,1.735,0.062000000000000055,0.15773500985302333
2022-02-01,GR,2.46,0.15,2.31,0.575,0.27621428879283805
2022-03-01,GR,2.61,0.282,2.328,0.017999999999999794,0.30966487261769515
2022-04-01,GR,2.89,0.745,2.145,-0.18299999999999983,0.39268604932354456
2022-05-01,GR,3.54,0.953,2.587,0.44200000000000017,0.31906164503639944
2022-06-01,GR,3.93,1.446,2.484,-0.1030000000000002,0.34011027623404744
2022-07-01,GR,3.38,1.082,2.298,-0.18599999999999994,0.34114952733369
2022-08-01,GR,3.46,1.033,2.427,0.129,0.16326767387738852
2022-09-01,GR,4.44,1.796,2.644,0.21700000000000008,0.2118875487925926
2022-10-01,GR,4.87,2.186,2.684,0.040000000000000036,0.08850047080854052
2022-11-01,GR,4.42,2.066,2.354,-0.33000000000000007,0.2791170602692235
2022-12-01,GR,4.22,2.085,2.135,-0.2190000000000003,0.18986925325953466
2023-01-01,GR,4.29,2.192,2.098,-0.03699999999999992,0.14792678369157258
2023-02-01,GR,4.26,2.37,1.8899999999999997,-0.20800000000000018,0.10205064102362767
2023-03-01,GR,4.29,2.383,1.907,0.017000000000000348,0.11746063170271141
2023-04-01,GR,4.22,2.359,1.8609999999999998,-0.04600000000000026,0.11607325273291863
2023-05-01,GR,3.98,2.341,1.6389999999999998,-0.22199999999999998,0.1238722460171499
2023-06-01,GR,3.71,2.377,1.3330000000000002,-0.3059999999999996,0.13268509084796676
2023-07-01,GR,3.85,2.457,1.3930000000000002,0.06000000000000005,0.1917185437040452
2023-08-01,GR,3.88,2.545,1.335,-0.058000000000000274,0.18680827961665186
2023-09-01,GR,4.08,2.66,1.42,0.08499999999999996,0.07637407937251985
2023-10-01,GR,4.3,2.823,1.4769999999999999,0.05699999999999994,0.0757825837511493
2023-11-01,GR,3.88,2.602,1.278,-0.19899999999999984,0.15651198037211048
2023-12-01,GR,3.28,2.101,1.1789999999999998,-0.0990000000000002,0.12901679477235992
2024-01-01,GR,3.29,2.175,1.1150000000000002,-0.06399999999999961,0.07005949852327853
2024-02-01,GR,3.45,2.331,1.1190000000000002,0.0040000000000000036,0.05237365750069334
2024-03-01,GR,3.37,2.349,1.021,-0.09800000000000031,0.05193585787616557
2024-04-01,GR,3.49,2.446,1.044,0.02300000000000013,0.06507175526550124
2024-05-01,GR,3.55,2.518,1.032,-0.01200000000000001,0.06226556030423202
2024-06-01,GR,3.65,2.484,1.166,0.1339999999999999,0.07622554252567343
2024-07-01,GR,3.5,2.458,1.0419999999999998,-0.12400000000000011,0.12937284619785275
2024-08-01,GR,3.31,2.208,1.1019999999999999,0.06000000000000005,0.13285079349907275
2024-09-01,GR,3.19,2.166,1.024,-0.07799999999999985,0.09575663597544178
2024-10-01,GR,3.16,2.228,0.9319999999999999,-0.09200000000000008,0.084007936133042
2024-11-01,GR,3.19,2.305,0.8849999999999998,-0.04700000000000015,0.023028967265886238
2024-12-01,GR,3.05,2.178,0.8719999999999999,-0.0129999999999999,0.0396274315762865
2025-01-01,GR,3.35,2.484,0.8660000000000001,-0.005999999999999783,0.02193171219945983
2025-02-01,GR,3.29,2.405,0.8850000000000002,0.019000000000000128,0.016822603841258513
2025-03-01,GR,3.6,2.741,0.859,-0.026000000000000245,0.02254624876411301
2025-04-01,GR,3.44,2.511,0.9289999999999998,0.06999999999999984,0.048031239834090564
2025-05-01,GR,3.37,2.562,0.8080000000000003,-0.12099999999999955,0.0955004362991772
2025-06-01,GR,3.29,2.52,0.77,-0.038000000000000256,0.09577229940506392
2025-07-01,GR,3.36,2.631,0.7290000000000001,-0.040999999999999925,0.04707794954469907
2025-08-01,GR,3.37,2.674,0.6960000000000002,-0.03299999999999992,0.004041451884318408
